,silhouette_score,calinski_harabasz_score,davies_bouldin_score,adjusted_rand_score,n_clusters,n_noise
conv_vae_dbscan,0.32636183500289917,12.819410460557739,0.6757266939233159,-1.697007639172212e-05,2.0,30.0
basic_vae_dbscan,0.301806777715683,102.22821925582234,1.0194766051970072,-0.0015182968414781289,4.0,497.0
hybrid_kmeans,0.26158055663108826,280.3346146821427,1.4769698280277663,0.2459556043804043,10.0,0.0
hybrid_agglomerative,0.25019118189811707,278.1341763220823,1.469994526102211,0.24985715544083148,10.0,0.0
multimodal_agglomerative,0.22679665106760513,249.5260851214814,1.5622652103320145,0.24985715544083148,10.0,0.0
multimodal_kmeans,0.2211861657434852,252.0534503477334,1.6503146673664773,0.22968207125312026,10.0,0.0
conv_vae_kmeans,0.21880899369716644,171.70847793718045,1.2985767156731733,0.0012735195195918885,10.0,0.0
basic_vae_kmeans,0.1874435991048813,117.57259572667411,1.5421401127446963,0.0022004655196337227,10.0,0.0
conv_vae_agglomerative,0.18016530573368073,144.2667251051185,1.4436629210831822,0.0005807814722897136,10.0,0.0
basic_vae_agglomerative,0.17071343958377838,102.18262209931567,1.6188207446173462,0.0010837887209780741,10.0,0.0
hybrid_dbscan,-1.0,0.0,999.0,-1.0,0.0,999.0
multimodal_dbscan,-1.0,0.0,999.0,-1.0,0.0,999.0
